symbol,security,gics_sector
LUV,Southwest Airlines,Industrials
LVS,Las Vegas Sands,Consumer Discretionary
LYB,LyondellBasell,Materials
LYV,Live Nation Entertainment,Communication Services
M,Macy's,Consumer Discretionary
MA,Mastercard,Financials
MAA,Mid-America Apartment Communities,Real Estate
MAR,Marriott International,Consumer Discretionary
MAS,Masco,Industrials
MAY,May Department Stores,Consumer Discretionary
MBF,MB Financial,Financials
MCD,McDonald's,Consumer Discretionary
MCK,McKesson Corporation,Health Care
MCO,Moody's Corporation,Financials
MDT,Medtronic,Health Care
MES,Mesabi Trust,Materials
MET,MetLife,Financials
MGM,MGM Resorts,Consumer Discretionary
MHK,Mohawk Industries,Consumer Discretionary
MHP,McGraw-Hill,Industrials
MHS,Medco Health Solutions,Health Care
MKC,McCormick & Company,Consumer Staples
MLM,Martin Marietta Materials,Materials
MMC,Marsh McLennan,Financials
MMM,3M,Industrials
MO,Altria,Consumer Staples
MOS,Mosaic Company (The),Materials
MOT,Motorola,Information Technology
MRK,Merck & Co.,Health Care
MRO,Marathon Oil,Energy
MS,Morgan Stanley,Financials
MSS,MSC Industrial,Industrials
MTB,M&T Bank,Financials
MTD,Mettler Toledo,Health Care
MWV,MeadWestvaco,Materials
MWW,Monster Worldwide,Communication Services
MXB,Maximus,Health Care
NBL,Noble Energy,Energy
NCB,National Commercial Bank,Financials
NEE,NextEra Energy,Utilities
NEM,Newmont,Materials
NI,NiSource,Utilities
NII,NII Holdings,Communication Services
NKE,"Nike, Inc.",Consumer Discretionary
NOC,Northrop Grumman,Industrials
NOV,National Oilwell Varco,Energy
NOW,ServiceNow,Information Technology
NRG,NRG Energy,Utilities
NSC,Norfolk Southern Railway,Industrials
NU,Northeast Utilities,Utilities
NUE,Nucor,Materials
NVR,"NVR, Inc.",Consumer Discretionary
NWL,Newell Brands,Consumer Discretionary
NX,Quanex Building Products,Industrials
O,Realty Income,Real Estate
OKE,ONEOK,Energy
OMC,Omnicom Group,Communication Services
OXY,Occidental Petroleum,Energy
PCS,MetroPCS,Communication Services
PDP,PowerShares DWA Momentum Portfolio,Financials
PEG,Public Service Enterprise Group,Utilities
PEP,PepsiCo,Consumer Staples
PFE,Pfizer,Health Care
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive Corporation,Financials
PH,Parker Hannifin,Industrials
PHM,PulteGroup,Consumer Discretionary
PIR,Pier 1 Imports,Consumer Discretionary
PKG,Packaging Corporation of America,Materials
PKI,PerkinElmer,Health Care
PLD,Prologis,Real Estate
PLL,Piedmont Lithium,Materials
PM,Philip Morris International,Consumer Staples
PNC,PNC Financial Services,Financials
PNR,Pentair,Industrials
PNW,Pinnacle West,Utilities
PPG,PPG Industries,Materials
PPL,PPL Corporation,Utilities
PRU,Prudential Financial,Financials
PSA,Public Storage,Real Estate
PVH,PVH Corp.,Consumer Discretionary
PWR,Quanta Services,Industrials
PXD,Pioneer Natural Resources,Energy
Q,Qwest,Communication Services
RCL,Royal Caribbean Group,Consumer Discretionary
RE,Everest Re Group,Financials
REG,Regency Centers,Real Estate
RF,Regions Financial Corporation,Financials
RHI,Robert Half International,Industrials
RJF,Raymond James Financial,Financials
RL,Ralph Lauren Corporation,Consumer Discretionary
RMD,ResMed,Health Care
ROC,Rockwood Holdings,Materials
ROK,Rockwell Automation,Industrials
ROL,"Rollins, Inc.",Industrials
ROP,Roper Technologies,Information Technology
RSG,Republic Services,Industrials
RTN,Raytheon,Industrials
SAI,SAIC,Information Technology
SEE,Sealed Air,Materials
SHW,Sherwin-Williams,Materials
SJM,J.M. Smucker Company (The),Consumer Staples
SLB,Schlumberger,Energy
SLG,SL Green Realty,Real Estate
SMC,Semtech,Information Technology
SMK,Smucker,Consumer Staples
SNA,Snap-on,Industrials
SNS,Steak 'n Shake,Consumer Discretionary
SNT,Sabine Royalty Trust,Energy
SO,Southern Company,Utilities
SPC,Simon Property Group,Real Estate
SPG,Simon Property Group,Real Estate
SRE,Sempra,Utilities
STE,Steris,Health Care
STT,State Street Corporation,Financials
STZ,Constellation Brands,Consumer Staples
SWK,Stanley Black & Decker,Industrials
SYK,Stryker Corporation,Health Care
SYY,Sysco,Consumer Staples
T,AT&T,Communication Services
TAP,Molson Coors Beverage Company,Consumer Staples
TCX,Tucows,Information Technology
TDG,TransDigm Group,Industrials
TEL,TE Connectivity,Information Technology
TEN,Tenneco,Industrials
TFC,Truist Financial,Financials
TFX,Teleflex,Health Care
TGT,Target Corporation,Consumer Staples
TI,Telecom Italia,Communication Services
TIF,Tiffany & Co.,Consumer Discretionary
TJX,TJX Companies,Consumer Discretionary
TMO,Thermo Fisher Scientific,Health Care
TRV,Travelers Companies (The),Financials
TSN,Tyson Foods,Consumer Staples
TXN,Texas Instruments,Information Technology
TXT,Textron,Industrials
TYC,Tyco International,Industrials
UA,Under Armour,Consumer Discretionary
UAL,United Airlines Holdings,Industrials
UDR,"UDR, Inc.",Real Estate
UHS,Universal Health Services,Health Care
UNH,UnitedHealth Group,Health Care
UNM,Unum Group,Financials
UNP,Union Pacific Corporation,Industrials
UPS,United Parcel Service,Industrials
URI,United Rentals,Industrials
USB,U.S. Bancorp,Financials
UTX,United Technologies,Industrials
V,Visa Inc.,Financials
VAR,Varian Medical Systems,Health Care
VFC,VF Corporation,Consumer Discretionary
VLO,Valero Energy,Energy
VMC,Vulcan Materials Company,Materials
VNO,Vornado Realty Trust,Real Estate
VTR,Ventas,Real Estate
VZ,Verizon,Communication Services
WAB,Wabtec,Industrials
WAG,Walgreens,Consumer Staples
WAT,Waters Corporation,Health Care
WCG,WellCare Health Plans,Health Care
WDC,Western Digital,Information Technology
WEC,WEC Energy Group,Utilities
WFC,Wells Fargo,Financials
WHR,Whirlpool,Consumer Discretionary
WLP,WellPoint,Health Care
WM,Waste Management,Industrials
WMB,Williams Companies,Energy
WMT,Walmart,Consumer Staples
WPI,Watson Pharmaceuticals,Health Care
WR,Westar Energy,Utilities
WRB,W. R. Berkley Corporation,Financials
WSH,Willis Group,Financials
WU,Western Union,Financials
WY,Weyerhaeuser,Real Estate
XEC,Cimarex Energy,Energy
XEL,Xcel Energy,Utilities
XOM,ExxonMobil,Energy
XRX,Xerox,Information Technology
YUM,Yum! Brands,Consumer Discretionary
ZMH,Zimmer Holdings,Health Care
